00001 A00     0 Cholera                                                      Cholera
87974 V889XXS 1 Person injured in oth trnsp acc w non-mv, nontraf, sequela   Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic, sequela
87975 V89     0 Motor- or nonmotor-vehicle accident, type of vehicle unsp    Motor- or nonmotor-vehicle accident, type of vehicle unspecified
87976 V890    0 Person injured in unsp motor-vehicle accident, nontraffic    Person injured in unspecified motor-vehicle accident, nontraffic
87977 V890XXA 1 Person injured in unsp motor-vehicle accident, nontraf, init Person injured in unspecified motor-vehicle accident, nontraffic, initial encounter
87978 V890XXD 1 Person injured in unsp motor-vehicle accident, nontraf, subs Person injured in unspecified motor-vehicle accident, nontraffic, subsequent encounter
87979 V890XXS 1 Person injured in unsp motor-vehicle acc, nontraf, sequela   Person injured in unspecified motor-vehicle accident, nontraffic, sequela
87980 V891    0 Person injured in unsp nonmotor-vehicle accident, nontraffic Person injured in unspecified nonmotor-vehicle accident, nontraffic
87981 V891XXA 1 Person injured in unsp nonmotor-vehicle acc, nontraf, init   Person injured in unspecified nonmotor-vehicle accident, nontraffic, initial encounter
87982 V891XXD 1 Person injured in unsp nonmotor-vehicle acc, nontraf, subs   Person injured in unspecified nonmotor-vehicle accident, nontraffic, subsequent encounter
87983 V891XXS 1 Person inj in unsp nonmotor-vehicle acc, nontraf, sequela    Person injured in unspecified nonmotor-vehicle accident, nontraffic, sequela
87984 V892    0 Person injured in unsp motor-vehicle accident, traffic       Person injured in unspecified motor-vehicle accident, traffic
87985 V892XXA 1 Person injured in unsp motor-vehicle accident, traffic, init Person injured in unspecified motor-vehicle accident, traffic, initial encounter
87986 V892XXD 1 Person injured in unsp motor-vehicle accident, traffic, subs Person injured in unspecified motor-vehicle accident, traffic, subsequent encounter
87987 V892XXS 1 Person injured in unsp motor-vehicle acc, traffic, sequela   Person injured in unspecified motor-vehicle accident, traffic, sequela
87988 V893    0 Person injured in unsp nonmotor-vehicle accident, traffic    Person injured in unspecified nonmotor-vehicle accident, traffic
87989 V893XXA 1 Person injured in unsp nonmotor-vehicle acc, traffic, init   Person injured in unspecified nonmotor-vehicle accident, traffic, initial encounter
87990 V893XXD 1 Person injured in unsp nonmotor-vehicle acc, traffic, subs   Person injured in unspecified nonmotor-vehicle accident, traffic, subsequent encounter
87991 V893XXS 1 Person inj in unsp nonmotor-vehicle acc, traffic, sequela    Person injured in unspecified nonmotor-vehicle accident, traffic, sequela
87992 V899    0 Person injured in unspecified vehicle accident               Person injured in unspecified vehicle accident
87993 V899XXA 1 Person injured in unspecified vehicle accident, init encntr  Person injured in unspecified vehicle accident, initial encounter
87994 V899XXD 1 Person injured in unspecified vehicle accident, subs encntr  Person injured in unspecified vehicle accident, subsequent encounter
87995 V899XXS 1 Person injured in unspecified vehicle accident, sequela      Person injured in unspecified vehicle accident, sequela
87996 V90     0 Drowning and submersion due to accident to watercraft        Drowning and submersion due to accident to watercraft
87997 V900    0 Drowning and submersion due to watercraft overturning        Drowning and submersion due to watercraft overturning
87998 V9000   0 Drowning and submersion due to merchant ship overturning     Drowning and submersion due to merchant ship overturning
87999 V9000XA 1 Drown due to merchant ship overturning, init                 Drowning and submersion due to merchant ship overturning, initial encounter
88000 V9000XD 1 Drown due to merchant ship overturning, subs                 Drowning and submersion due to merchant ship overturning, subsequent encounter
88001 V9000XS 1 Drown due to merchant ship overturning, sequela              Drowning and submersion due to merchant ship overturning, sequela
88002 V9001   0 Drowning and submersion due to passenger ship overturning    Drowning and submersion due to passenger ship overturning
88003 V9001XA 1 Drown due to passenger ship overturning, init                Drowning and submersion due to passenger ship overturning, initial encounter
88004 V9001XD 1 Drown due to passenger ship overturning, subs                Drowning and submersion due to passenger ship overturning, subsequent encounter
88005 V9001XS 1 Drown due to passenger ship overturning, sequela             Drowning and submersion due to passenger ship overturning, sequela
88006 V9002   0 Drowning and submersion due to fishing boat overturning      Drowning and submersion due to fishing boat overturning
88007 V9002XA 1 Drown due to fishing boat overturning, init                  Drowning and submersion due to fishing boat overturning, initial encounter
88008 V9002XD 1 Drown due to fishing boat overturning, subs                  Drowning and submersion due to fishing boat overturning, subsequent encounter
88009 V9002XS 1 Drown due to fishing boat overturning, sequela               Drowning and submersion due to fishing boat overturning, sequela
88010 V9003   0 Drown due to oth powered watercraft overturning              Drowning and submersion due to other powered watercraft overturning
88011 V9003XA 1 Drown due to oth powered watercraft overturning, init        Drowning and submersion due to other powered watercraft overturning, initial encounter
88012 V9003XD 1 Drown due to oth powered watercraft overturning, subs        Drowning and submersion due to other powered watercraft overturning, subsequent encounter
88013 V9003XS 1 Drown due to oth powered watercraft overturning, sequela     Drowning and submersion due to other powered watercraft overturning, sequela
88014 V9004   0 Drowning and submersion due to sailboat overturning          Drowning and submersion due to sailboat overturning
88015 V9004XA 1 Drowning and submersion due to sailboat overturning, init    Drowning and submersion due to sailboat overturning, initial encounter
88016 V9004XD 1 Drowning and submersion due to sailboat overturning, subs    Drowning and submersion due to sailboat overturning, subsequent encounter
88017 V9004XS 1 Drowning and submersion due to sailboat overturning, sequela Drowning and submersion due to sailboat overturning, sequela
88018 V9005   0 Drowning and submersion due to canoe or kayak overturning    Drowning and submersion due to canoe or kayak overturning
88019 V9005XA 1 Drown due to canoe or kayak overturning, init                Drowning and submersion due to canoe or kayak overturning, initial encounter
88020 V9005XD 1 Drown due to canoe or kayak overturning, subs                Drowning and submersion due to canoe or kayak overturning, subsequent encounter
88021 V9005XS 1 Drown due to canoe or kayak overturning, sequela             Drowning and submersion due to canoe or kayak overturning, sequela
88022 V9006   0 Drown due to (nonpowered) inflatable craft overturning       Drowning and submersion due to (nonpowered) inflatable craft overturning
88023 V9006XA 1 Drown due to (nonpowered) inflatable craft overturning, init Drowning and submersion due to (nonpowered) inflatable craft overturning, initial encounter
88024 V9006XD 1 Drown due to (nonpowered) inflatable craft overturning, subs Drowning and submersion due to (nonpowered) inflatable craft overturning, subsequent encounter
88025 V9006XS 1 Drown due to (nonpowered) inflatbl crft overturning, sequela Drowning and submersion due to (nonpowered) inflatable craft overturning, sequela
88026 V9008   0 Drowning and submersion due to unpowr wtrcrft overturning    Drowning and submersion due to other unpowered watercraft overturning
88027 V9008XA 1 Drown due to unpowr wtrcrft overturning, init                Drowning and submersion due to other unpowered watercraft overturning, initial encounter
88028 V9008XD 1 Drown due to unpowr wtrcrft overturning, subs                Drowning and submersion due to other unpowered watercraft overturning, subsequent encounter
88029 V9008XS 1 Drown due to unpowr wtrcrft overturning, sequela             Drowning and submersion due to other unpowered watercraft overturning, sequela
88030 V9009   0 Drowning and submersion due to unsp watercraft overturning   Drowning and submersion due to unspecified watercraft overturning
88031 V9009XA 1 Drown due to unsp watercraft overturning, init               Drowning and submersion due to unspecified watercraft overturning, initial encounter
88032 V9009XD 1 Drown due to unsp watercraft overturning, subs               Drowning and submersion due to unspecified watercraft overturning, subsequent encounter
88033 V9009XS 1 Drown due to unsp watercraft overturning, sequela            Drowning and submersion due to unspecified watercraft overturning, sequela
88034 V901    0 Drowning and submersion due to watercraft sinking            Drowning and submersion due to watercraft sinking
88035 V9010   0 Drowning and submersion due to merchant ship sinking         Drowning and submersion due to merchant ship sinking
88036 V9010XA 1 Drowning and submersion due to merchant ship sinking, init   Drowning and submersion due to merchant ship sinking, initial encounter
88037 V9010XD 1 Drowning and submersion due to merchant ship sinking, subs   Drowning and submersion due to merchant ship sinking, subsequent encounter
88038 V9010XS 1 Drown due to merchant ship sinking, sequela                  Drowning and submersion due to merchant ship sinking, sequela
88039 V9011   0 Drowning and submersion due to passenger ship sinking        Drowning and submersion due to passenger ship sinking
88040 V9011XA 1 Drowning and submersion due to passenger ship sinking, init  Drowning and submersion due to passenger ship sinking, initial encounter
88041 V9011XD 1 Drowning and submersion due to passenger ship sinking, subs  Drowning and submersion due to passenger ship sinking, subsequent encounter
88042 V9011XS 1 Drown due to passenger ship sinking, sequela                 Drowning and submersion due to passenger ship sinking, sequela
88043 V9012   0 Drowning and submersion due to fishing boat sinking          Drowning and submersion due to fishing boat sinking
88044 V9012XA 1 Drowning and submersion due to fishing boat sinking, init    Drowning and submersion due to fishing boat sinking, initial encounter
88045 V9012XD 1 Drowning and submersion due to fishing boat sinking, subs    Drowning and submersion due to fishing boat sinking, subsequent encounter
88046 V9012XS 1 Drowning and submersion due to fishing boat sinking, sequela Drowning and submersion due to fishing boat sinking, sequela
88047 V9013   0 Drown due to oth powered watercraft sinking                  Drowning and submersion due to other powered watercraft sinking
88048 V9013XA 1 Drown due to oth powered watercraft sinking, init            Drowning and submersion due to other powered watercraft sinking, initial encounter
88049 V9013XD 1 Drown due to oth powered watercraft sinking, subs            Drowning and submersion due to other powered watercraft sinking, subsequent encounter
88050 V9013XS 1 Drown due to oth powered watercraft sinking, sequela         Drowning and submersion due to other powered watercraft sinking, sequela
88051 V9014   0 Drowning and submersion due to sailboat sinking              Drowning and submersion due to sailboat sinking
88052 V9014XA 1 Drowning and submersion due to sailboat sinking, init encntr Drowning and submersion due to sailboat sinking, initial encounter
88053 V9014XD 1 Drowning and submersion due to sailboat sinking, subs encntr Drowning and submersion due to sailboat sinking, subsequent encounter
88054 V9014XS 1 Drowning and submersion due to sailboat sinking, sequela     Drowning and submersion due to sailboat sinking, sequela
88055 V9015   0 Drowning and submersion due to canoe or kayak sinking        Drowning and submersion due to canoe or kayak sinking
88056 V9015XA 1 Drowning and submersion due to canoe or kayak sinking, init  Drowning and submersion due to canoe or kayak sinking, initial encounter
88057 V9015XD 1 Drowning and submersion due to canoe or kayak sinking, subs  Drowning and submersion due to canoe or kayak sinking, subsequent encounter
88058 V9015XS 1 Drown due to canoe or kayak sinking, sequela                 Drowning and submersion due to canoe or kayak sinking, sequela
88059 V9016   0 Drown due to (nonpowered) inflatable craft sinking           Drowning and submersion due to (nonpowered) inflatable craft sinking
88060 V9016XA 1 Drown due to (nonpowered) inflatable craft sinking, init     Drowning and submersion due to (nonpowered) inflatable craft sinking, initial encounter
88061 V9016XD 1 Drown due to (nonpowered) inflatable craft sinking, subs     Drowning and submersion due to (nonpowered) inflatable craft sinking, subsequent encounter
88062 V9016XS 1 Drown due to (nonpowered) inflatable craft sinking, sequela  Drowning and submersion due to (nonpowered) inflatable craft sinking, sequela
88063 V9018   0 Drowning and submersion due to unpowr wtrcrft sinking        Drowning and submersion due to other unpowered watercraft sinking
88064 V9018XA 1 Drowning and submersion due to unpowr wtrcrft sinking, init  Drowning and submersion due to other unpowered watercraft sinking, initial encounter
88065 V9018XD 1 Drowning and submersion due to unpowr wtrcrft sinking, subs  Drowning and submersion due to other unpowered watercraft sinking, subsequent encounter
88066 V9018XS 1 Drown due to unpowr wtrcrft sinking, sequela                 Drowning and submersion due to other unpowered watercraft sinking, sequela
88067 V9019   0 Drowning and submersion due to unsp watercraft sinking       Drowning and submersion due to unspecified watercraft sinking
88068 V9019XA 1 Drowning and submersion due to unsp watercraft sinking, init Drowning and submersion due to unspecified watercraft sinking, initial encounter
88069 V9019XD 1 Drowning and submersion due to unsp watercraft sinking, subs Drowning and submersion due to unspecified watercraft sinking, subsequent encounter
88070 V9019XS 1 Drown due to unsp watercraft sinking, sequela                Drowning and submersion due to unspecified watercraft sinking, sequela
88071 V902    0 Drown due to falling or jumping from burning watercraft      Drowning and submersion due to falling or jumping from burning watercraft
88072 V9020   0 Drown due to falling or jumping from burning merchant ship   Drowning and submersion due to falling or jumping from burning merchant ship
88073 V9020XA 1 Drown due to fall/jump fr burning merchant ship, init        Drowning and submersion due to falling or jumping from burning merchant ship, initial encounter
88074 V9020XD 1 Drown due to fall/jump fr burning merchant ship, subs        Drowning and submersion due to falling or jumping from burning merchant ship, subsequent encounter
88075 V9020XS 1 Drown due to fall/jump fr burning merchant ship, sequela     Drowning and submersion due to falling or jumping from burning merchant ship, sequela
88076 V9021   0 Drown due to falling or jumping from burning passenger ship  Drowning and submersion due to falling or jumping from burning passenger ship
88077 V9021XA 1 Drown due to fall/jump fr burning passenger ship, init       Drowning and submersion due to falling or jumping from burning passenger ship, initial encounter
88078 V9021XD 1 Drown due to fall/jump fr burning passenger ship, subs       Drowning and submersion due to falling or jumping from burning passenger ship, subsequent encounter
88079 V9021XS 1 Drown due to fall/jump fr burning passenger ship, sequela    Drowning and submersion due to falling or jumping from burning passenger ship, sequela
88080 V9022   0 Drown due to falling or jumping from burning fishing boat    Drowning and submersion due to falling or jumping from burning fishing boat
88081 V9022XA 1 Drown due to fall/jump fr burning fishing boat, init         Drowning and submersion due to falling or jumping from burning fishing boat, initial encounter
88082 V9022XD 1 Drown due to fall/jump fr burning fishing boat, subs         Drowning and submersion due to falling or jumping from burning fishing boat, subsequent encounter
88083 V9022XS 1 Drown due to fall/jump fr burning fishing boat, sequela      Drowning and submersion due to falling or jumping from burning fishing boat, sequela
88084 V9023   0 Drown due to fall/jump fr oth burning powered watercraft     Drowning and submersion due to falling or jumping from other burning powered watercraft
88085 V9023XA 1 Drown due to fall/jump fr oth burning powered wtrcrft, init  Drowning and submersion due to falling or jumping from other burning powered watercraft, initial encounter
88086 V9023XD 1 Drown due to fall/jump fr oth burning powered wtrcrft, subs  Drowning and submersion due to falling or jumping from other burning powered watercraft, subsequent encounter
88087 V9023XS 1 Drown due to fall/jump fr oth burn powered wtrcrft, sequela  Drowning and submersion due to falling or jumping from other burning powered watercraft, sequela
88088 V9024   0 Drown due to falling or jumping from burning sailboat        Drowning and submersion due to falling or jumping from burning sailboat
88089 V9024XA 1 Drown due to falling or jumping from burning sailboat, init  Drowning and submersion due to falling or jumping from burning sailboat, initial encounter
88090 V9024XD 1 Drown due to falling or jumping from burning sailboat, subs  Drowning and submersion due to falling or jumping from burning sailboat, subsequent encounter
88091 V9024XS 1 Drown due to fall/jump fr burning sailboat, sequela          Drowning and submersion due to falling or jumping from burning sailboat, sequela
88092 V9025   0 Drown due to falling or jumping from burning canoe or kayak  Drowning and submersion due to falling or jumping from burning canoe or kayak
88093 V9025XA 1 Drown due to fall/jump fr burning canoe or kayak, init       Drowning and submersion due to falling or jumping from burning canoe or kayak, initial encounter
88094 V9025XD 1 Drown due to fall/jump fr burning canoe or kayak, subs       Drowning and submersion due to falling or jumping from burning canoe or kayak, subsequent encounter
88095 V9025XS 1 Drown due to fall/jump fr burning canoe or kayak, sequela    Drowning and submersion due to falling or jumping from burning canoe or kayak, sequela
88096 V9026   0 Drown due to fall/jump fr burning (nonpowered) inflatbl crft Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft
88097 V9026XA 1 Drown due to fall/jump fr burning inflatbl crft, init        Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft, initial encounter
88098 V9026XD 1 Drown due to fall/jump fr burning inflatbl crft, subs        Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft, subsequent encounter
88099 V9026XS 1 Drown due to fall/jump fr burning inflatbl crft, sequela     Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft, sequela
88100 V9027   0 Drown due to falling or jumping from burning water-skis      Drowning and submersion due to falling or jumping from burning water-skis
88101 V9027XA 1 Drown due to fall/jump fr burning water-skis, init           Drowning and submersion due to falling or jumping from burning water-skis, initial encounter
88102 V9027XD 1 Drown due to fall/jump fr burning water-skis, subs           Drowning and submersion due to falling or jumping from burning water-skis, subsequent encounter
88103 V9027XS 1 Drown due to fall/jump fr burning water-skis, sequela        Drowning and submersion due to falling or jumping from burning water-skis, sequela
88104 V9028   0 Drown due to fall/jump fr oth burning unpowered watercraft   Drowning and submersion due to falling or jumping from other burning unpowered watercraft
88105 V9028XA 1 Drown due to fall/jump fr oth burning unpowr wtrcrft, init   Drowning and submersion due to falling or jumping from other burning unpowered watercraft, initial encounter
88106 V9028XD 1 Drown due to fall/jump fr oth burning unpowr wtrcrft, subs   Drowning and submersion due to falling or jumping from other burning unpowered watercraft, subsequent encounter
88107 V9028XS 1 Drown due to fall/jump fr oth burn unpowr wtrcrft, sequela   Drowning and submersion due to falling or jumping from other burning unpowered watercraft, sequela
88108 V9029   0 Drown due to falling or jumping from unsp burning watercraft Drowning and submersion due to falling or jumping from unspecified burning watercraft
88109 V9029XA 1 Drown due to fall/jump fr unsp burning watercraft, init      Drowning and submersion due to falling or jumping from unspecified burning watercraft, initial encounter
88110 V9029XD 1 Drown due to fall/jump fr unsp burning watercraft, subs      Drowning and submersion due to falling or jumping from unspecified burning watercraft, subsequent encounter
88111 V9029XS 1 Drown due to fall/jump fr unsp burning watercraft, sequela   Drowning and submersion due to falling or jumping from unspecified burning watercraft, sequela
88112 V903    0 Drown due to falling or jumping from crushed watercraft      Drowning and submersion due to falling or jumping from crushed watercraft
88113 V9030   0 Drown due to falling or jumping from crushed merchant ship   Drowning and submersion due to falling or jumping from crushed merchant ship
88114 V9030XA 1 Drown due to fall/jump fr crushed merchant ship, init        Drowning and submersion due to falling or jumping from crushed merchant ship, initial encounter
88115 V9030XD 1 Drown due to fall/jump fr crushed merchant ship, subs        Drowning and submersion due to falling or jumping from crushed merchant ship, subsequent encounter
88116 V9030XS 1 Drown due to fall/jump fr crushed merchant ship, sequela     Drowning and submersion due to falling or jumping from crushed merchant ship, sequela
88117 V9031   0 Drown due to falling or jumping from crushed passenger ship  Drowning and submersion due to falling or jumping from crushed passenger ship
88118 V9031XA 1 Drown due to fall/jump fr crushed passenger ship, init       Drowning and submersion due to falling or jumping from crushed passenger ship, initial encounter
88119 V9031XD 1 Drown due to fall/jump fr crushed passenger ship, subs       Drowning and submersion due to falling or jumping from crushed passenger ship, subsequent encounter
88120 V9031XS 1 Drown due to fall/jump fr crushed passenger ship, sequela    Drowning and submersion due to falling or jumping from crushed passenger ship, sequela
88121 V9032   0 Drown due to falling or jumping from crushed fishing boat    Drowning and submersion due to falling or jumping from crushed fishing boat
88122 V9032XA 1 Drown due to fall/jump fr crushed fishing boat, init         Drowning and submersion due to falling or jumping from crushed fishing boat, initial encounter
88123 V9032XD 1 Drown due to fall/jump fr crushed fishing boat, subs         Drowning and submersion due to falling or jumping from crushed fishing boat, subsequent encounter
88124 V9032XS 1 Drown due to fall/jump fr crushed fishing boat, sequela      Drowning and submersion due to falling or jumping from crushed fishing boat, sequela
88125 V9033   0 Drown due to fall/jump fr oth crushed powered watercraft     Drowning and submersion due to falling or jumping from other crushed powered watercraft
88126 V9033XA 1 Drown due to fall/jump fr oth crushed powered wtrcrft, init  Drowning and submersion due to falling or jumping from other crushed powered watercraft, initial encounter
88127 V9033XD 1 Drown due to fall/jump fr oth crushed powered wtrcrft, subs  Drowning and submersion due to falling or jumping from other crushed powered watercraft, subsequent encounter
88128 V9033XS 1 Drown due to fall/jump fr oth crush powered wtrcrft, sequela Drowning and submersion due to falling or jumping from other crushed powered watercraft, sequela
88129 V9034   0 Drown due to falling or jumping from crushed sailboat        Drowning and submersion due to falling or jumping from crushed sailboat
88130 V9034XA 1 Drown due to falling or jumping from crushed sailboat, init  Drowning and submersion due to falling or jumping from crushed sailboat, initial encounter
88131 V9034XD 1 Drown due to falling or jumping from crushed sailboat, subs  Drowning and submersion due to falling or jumping from crushed sailboat, subsequent encounter
88132 V9034XS 1 Drown due to fall/jump fr crushed sailboat, sequela          Drowning and submersion due to falling or jumping from crushed sailboat, sequela
88133 V9035   0 Drown due to falling or jumping from crushed canoe or kayak  Drowning and submersion due to falling or jumping from crushed canoe or kayak
88134 V9035XA 1 Drown due to fall/jump fr crushed canoe or kayak, init       Drowning and submersion due to falling or jumping from crushed canoe or kayak, initial encounter
88135 V9035XD 1 Drown due to fall/jump fr crushed canoe or kayak, subs       Drowning and submersion due to falling or jumping from crushed canoe or kayak, subsequent encounter
88136 V9035XS 1 Drown due to fall/jump fr crushed canoe or kayak, sequela    Drowning and submersion due to falling or jumping from crushed canoe or kayak, sequela
88137 V9036   0 Drown due to fall/jump fr crushed (nonpowered) inflatbl crft Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft
88138 V9036XA 1 Drown due to fall/jump fr crushed inflatbl crft, init        Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft, initial encounter
88139 V9036XD 1 Drown due to fall/jump fr crushed inflatbl crft, subs        Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft, subsequent encounter
88140 V9036XS 1 Drown due to fall/jump fr crushed inflatbl crft, sequela     Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft, sequela
88141 V9037   0 Drown due to falling or jumping from crushed water-skis      Drowning and submersion due to falling or jumping from crushed water-skis
88142 V9037XA 1 Drown due to fall/jump fr crushed water-skis, init           Drowning and submersion due to falling or jumping from crushed water-skis, initial encounter
88143 V9037XD 1 Drown due to fall/jump fr crushed water-skis, subs           Drowning and submersion due to falling or jumping from crushed water-skis, subsequent encounter
88144 V9037XS 1 Drown due to fall/jump fr crushed water-skis, sequela        Drowning and submersion due to falling or jumping from crushed water-skis, sequela
88145 V9038   0 Drown due to fall/jump fr oth crushed unpowered watercraft   Drowning and submersion due to falling or jumping from other crushed unpowered watercraft
88146 V9038XA 1 Drown due to fall/jump fr oth crushed unpowr wtrcrft, init   Drowning and submersion due to falling or jumping from other crushed unpowered watercraft, initial encounter
88147 V9038XD 1 Drown due to fall/jump fr oth crushed unpowr wtrcrft, subs   Drowning and submersion due to falling or jumping from other crushed unpowered watercraft, subsequent encounter
88148 V9038XS 1 Drown due to fall/jump fr oth crush unpowr wtrcrft, sequela  Drowning and submersion due to falling or jumping from other crushed unpowered watercraft, sequela
88149 V9039   0 Drown due to falling or jumping from crushed unsp watercraft Drowning and submersion due to falling or jumping from crushed unspecified watercraft
88150 V9039XA 1 Drown due to fall/jump fr crushed unsp watercraft, init      Drowning and submersion due to falling or jumping from crushed unspecified watercraft, initial encounter
88151 V9039XD 1 Drown due to fall/jump fr crushed unsp watercraft, subs      Drowning and submersion due to falling or jumping from crushed unspecified watercraft, subsequent encounter
88152 V9039XS 1 Drown due to fall/jump fr crushed unsp watercraft, sequela   Drowning and submersion due to falling or jumping from crushed unspecified watercraft, sequela
88153 V908    0 Drowning and submersion due to other accident to watercraft  Drowning and submersion due to other accident to watercraft
88154 V9080   0 Drowning and submersion due to oth accident to merchant ship Drowning and submersion due to other accident to merchant ship
88155 V9080XA 1 Drown due to oth accident to merchant ship, init             Drowning and submersion due to other accident to merchant ship, initial encounter
88156 V9080XD 1 Drown due to oth accident to merchant ship, subs             Drowning and submersion due to other accident to merchant ship, subsequent encounter
88157 V9080XS 1 Drown due to oth accident to merchant ship, sequela          Drowning and submersion due to other accident to merchant ship, sequela
88158 V9081   0 Drown due to oth accident to passenger ship                  Drowning and submersion due to other accident to passenger ship
88159 V9081XA 1 Drown due to oth accident to passenger ship, init            Drowning and submersion due to other accident to passenger ship, initial encounter
88160 V9081XD 1 Drown due to oth accident to passenger ship, subs            Drowning and submersion due to other accident to passenger ship, subsequent encounter
88161 V9081XS 1 Drown due to oth accident to passenger ship, sequela         Drowning and submersion due to other accident to passenger ship, sequela
88162 V9082   0 Drowning and submersion due to oth accident to fishing boat  Drowning and submersion due to other accident to fishing boat
88163 V9082XA 1 Drown due to oth accident to fishing boat, init              Drowning and submersion due to other accident to fishing boat, initial encounter
88164 V9082XD 1 Drown due to oth accident to fishing boat, subs              Drowning and submersion due to other accident to fishing boat, subsequent encounter
88165 V9082XS 1 Drown due to oth accident to fishing boat, sequela           Drowning and submersion due to other accident to fishing boat, sequela
88166 V9083   0 Drown due to oth accident to oth powered watercraft          Drowning and submersion due to other accident to other powered watercraft
88167 V9083XA 1 Drown due to oth accident to oth powered watercraft, init    Drowning and submersion due to other accident to other powered watercraft, initial encounter
88168 V9083XD 1 Drown due to oth accident to oth powered watercraft, subs    Drowning and submersion due to other accident to other powered watercraft, subsequent encounter
88169 V9083XS 1 Drown due to oth accident to oth powered watercraft, sequela Drowning and submersion due to other accident to other powered watercraft, sequela
88170 V9084   0 Drowning and submersion due to other accident to sailboat    Drowning and submersion due to other accident to sailboat
88171 V9084XA 1 Drown due to oth accident to sailboat, init                  Drowning and submersion due to other accident to sailboat, initial encounter
88172 V9084XD 1 Drown due to oth accident to sailboat, subs                  Drowning and submersion due to other accident to sailboat, subsequent encounter
88173 V9084XS 1 Drown due to oth accident to sailboat, sequela               Drowning and submersion due to other accident to sailboat, sequela
88174 V9085   0 Drown due to oth accident to canoe or kayak                  Drowning and submersion due to other accident to canoe or kayak
88175 V9085XA 1 Drown due to oth accident to canoe or kayak, init            Drowning and submersion due to other accident to canoe or kayak, initial encounter
88176 V9085XD 1 Drown due to oth accident to canoe or kayak, subs            Drowning and submersion due to other accident to canoe or kayak, subsequent encounter
88177 V9085XS 1 Drown due to oth accident to canoe or kayak, sequela         Drowning and submersion due to other accident to canoe or kayak, sequela
88178 V9086   0 Drown due to oth accident to (nonpowered) inflatable craft   Drowning and submersion due to other accident to (nonpowered) inflatable craft
88179 V9086XA 1 Drown due to oth accident to inflatbl crft, init             Drowning and submersion due to other accident to (nonpowered) inflatable craft, initial encounter
88180 V9086XD 1 Drown due to oth accident to inflatbl crft, subs             Drowning and submersion due to other accident to (nonpowered) inflatable craft, subsequent encounter
88181 V9086XS 1 Drown due to oth accident to inflatbl crft, sequela          Drowning and submersion due to other accident to (nonpowered) inflatable craft, sequela
88182 V9087   0 Drowning and submersion due to other accident to water-skis  Drowning and submersion due to other accident to water-skis
88183 V9087XA 1 Drown due to oth accident to water-skis, init                Drowning and submersion due to other accident to water-skis, initial encounter
88184 V9087XD 1 Drown due to oth accident to water-skis, subs                Drowning and submersion due to other accident to water-skis, subsequent encounter
88185 V9087XS 1 Drown due to oth accident to water-skis, sequela             Drowning and submersion due to other accident to water-skis, sequela
88186 V9088   0 Drown due to oth accident to unpowr wtrcrft                  Drowning and submersion due to other accident to other unpowered watercraft
88187 V9088XA 1 Drown due to oth accident to unpowr wtrcrft, init            Drowning and submersion due to other accident to other unpowered watercraft, initial encounter
88188 V9088XD 1 Drown due to oth accident to unpowr wtrcrft, subs            Drowning and submersion due to other accident to other unpowered watercraft, subsequent encounter
88189 V9088XS 1 Drown due to oth accident to unpowr wtrcrft, sequela         Drowning and submersion due to other accident to other unpowered watercraft, sequela
88190 V9089   0 Drown due to oth accident to unsp watercraft                 Drowning and submersion due to other accident to unspecified watercraft
88191 V9089XA 1 Drown due to oth accident to unsp watercraft, init           Drowning and submersion due to other accident to unspecified watercraft, initial encounter
88192 V9089XD 1 Drown due to oth accident to unsp watercraft, subs           Drowning and submersion due to other accident to unspecified watercraft, subsequent encounter
88193 V9089XS 1 Drown due to oth accident to unsp watercraft, sequela        Drowning and submersion due to other accident to unspecified watercraft, sequela
88194 V91     0 Other injury due to accident to watercraft                   Other injury due to accident to watercraft
88195 V910    0 Burn due to watercraft on fire                               Burn due to watercraft on fire
88196 V9100   0 Burn due to merchant ship on fire                            Burn due to merchant ship on fire
88197 V9100XA 1 Burn due to merchant ship on fire, initial encounter         Burn due to merchant ship on fire, initial encounter
88198 V9100XD 1 Burn due to merchant ship on fire, subsequent encounter      Burn due to merchant ship on fire, subsequent encounter
88199 V9100XS 1 Burn due to merchant ship on fire, sequela                   Burn due to merchant ship on fire, sequela
88200 V9101   0 Burn due to passenger ship on fire                           Burn due to passenger ship on fire
88201 V9101XA 1 Burn due to passenger ship on fire, initial encounter        Burn due to passenger ship on fire, initial encounter
88202 V9101XD 1 Burn due to passenger ship on fire, subsequent encounter     Burn due to passenger ship on fire, subsequent encounter
88203 V9101XS 1 Burn due to passenger ship on fire, sequela                  Burn due to passenger ship on fire, sequela
88204 V9102   0 Burn due to fishing boat on fire                             Burn due to fishing boat on fire
88205 V9102XA 1 Burn due to fishing boat on fire, initial encounter          Burn due to fishing boat on fire, initial encounter
88206 V9102XD 1 Burn due to fishing boat on fire, subsequent encounter       Burn due to fishing boat on fire, subsequent encounter
